GEOID,NAME,B25044_001E,B25044_003E,B25044_010E,prop_of_households_wo_vehicle_access
GEOID,Geographic Area Name,Estimate!!Total:,Estimate!!Total:!!Owner occupied:!!No vehicle available,Estimate!!Total:!!Renter occupied:!!No vehicle available,prop_of_households_wo_vehicle_access
36029000110,"Census Tract 1.10, Erie County, New York",980,53,75,0.130612245
36029000200,"Census Tract 2, Erie County, New York",1616,26,357,0.23700495
36029000500,"Census Tract 5, Erie County, New York",881,85,213,0.338251986
36029000600,"Census Tract 6, Erie County, New York",1833,31,54,0.046372068
36029000700,"Census Tract 7, Erie County, New York",1553,109,52,0.103670316
36029000800,"Census Tract 8, Erie County, New York",1786,14,91,0.058790594
36029000900,"Census Tract 9, Erie County, New York",1060,10,107,0.110377358
36029001000,"Census Tract 10, Erie County, New York",2520,36,241,0.109920635
36029001100,"Census Tract 11, Erie County, New York",1547,60,241,0.194570136
36029001403,"Census Tract 14.03, Erie County, New York",1158,17,595,0.528497409
36029001404,"Census Tract 14.04, Erie County, New York",473,9,338,0.733615222
36029001500,"Census Tract 15, Erie County, New York",603,65,170,0.389718076
36029001601,"Census Tract 16.01, Erie County, New York",565,27,248,0.486725664
36029001602,"Census Tract 16.02, Erie County, New York",594,44,260,0.511784512
36029001700,"Census Tract 17, Erie County, New York",848,44,200,0.287735849
36029001900,"Census Tract 19, Erie County, New York",1405,20,118,0.098220641
36029002300,"Census Tract 23, Erie County, New York",1401,70,373,0.316202712
36029002400,"Census Tract 24, Erie County, New York",1609,209,288,0.308887508
36029002502,"Census Tract 25.02, Erie County, New York",1081,58,426,0.44773358
36029002703,"Census Tract 27.03, Erie County, New York",489,14,191,0.419222904
36029002704,"Census Tract 27.04, Erie County, New York",579,20,59,0.136442142
36029002801,"Census Tract 28.01, Erie County, New York",484,26,231,0.530991736
36029002802,"Census Tract 28.02, Erie County, New York",396,27,131,0.398989899
36029002900,"Census Tract 29, Erie County, New York",827,131,191,0.389359129
36029003000,"Census Tract 30, Erie County, New York",969,19,268,0.296181631
36029003100,"Census Tract 31, Erie County, New York",1185,89,509,0.50464135
36029003301,"Census Tract 33.01, Erie County, New York",1670,192,289,0.288023952
36029003302,"Census Tract 33.02, Erie County, New York",1141,82,331,0.36196319
36029003400,"Census Tract 34, Erie County, New York",1295,66,493,0.431660232
36029003501,"Census Tract 35.01, Erie County, New York",679,97,334,0.634756996
36029003502,"Census Tract 35.02, Erie County, New York",736,50,137,0.254076087
36029003600,"Census Tract 36, Erie County, New York",1190,81,290,0.311764706
36029003700,"Census Tract 37, Erie County, New York",1533,72,597,0.436399217
36029003800,"Census Tract 38, Erie County, New York",1124,51,320,0.330071174
36029003901,"Census Tract 39.01, Erie County, New York",507,12,237,0.49112426
36029004002,"Census Tract 40.02, Erie County, New York",579,27,230,0.443868739
36029004003,"Census Tract 40.03, Erie County, New York",1237,56,490,0.441390461
36029004100,"Census Tract 41, Erie County, New York",1732,52,480,0.307159353
36029004200,"Census Tract 42, Erie County, New York",1471,59,457,0.350781781
36029004300,"Census Tract 43, Erie County, New York",2616,56,349,0.154816514
36029004401,"Census Tract 44.01, Erie County, New York",2113,102,400,0.237576905
36029004402,"Census Tract 44.02, Erie County, New York",1213,0,577,0.475680132
36029004500,"Census Tract 45, Erie County, New York",2281,35,211,0.107847435
36029004601,"Census Tract 46.01, Erie County, New York",1246,17,235,0.202247191
36029004701,"Census Tract 47.01, Erie County, New York",881,27,183,0.238365494
36029004702,"Census Tract 47.02, Erie County, New York",1841,20,517,0.291689299
36029004800,"Census Tract 48, Erie County, New York",1575,10,133,0.090793651
36029004901,"Census Tract 49.01, Erie County, New York",860,0,221,0.256976744
36029004902,"Census Tract 49.02, Erie County, New York",1935,27,89,0.05994832
36029005000,"Census Tract 50, Erie County, New York",1140,35,88,0.107894737
36029005100,"Census Tract 51, Erie County, New York",2281,0,356,0.156071898
36029005201,"Census Tract 52.01, Erie County, New York",1400,7,59,0.047142857
36029005202,"Census Tract 52.02, Erie County, New York",752,20,137,0.208776596
36029005300,"Census Tract 53, Erie County, New York",444,7,116,0.277027027
36029005400,"Census Tract 54, Erie County, New York",1898,0,186,0.097997893
36029005500,"Census Tract 55, Erie County, New York",1606,42,532,0.357409714
36029005600,"Census Tract 56, Erie County, New York",1770,80,347,0.241242938
36029005700,"Census Tract 57, Erie County, New York",1102,29,330,0.325771325
36029005801,"Census Tract 58.01, Erie County, New York",1356,122,242,0.268436578
36029005802,"Census Tract 58.02, Erie County, New York",1725,30,441,0.273043478
36029005900,"Census Tract 59, Erie County, New York",1843,71,640,0.385784048
36029006100,"Census Tract 61, Erie County, New York",1684,136,392,0.313539192
36029006301,"Census Tract 63.01, Erie County, New York",2012,34,336,0.18389662
36029006302,"Census Tract 63.02, Erie County, New York",1127,0,53,0.047027507
36029006501,"Census Tract 65.01, Erie County, New York",1393,10,206,0.155061019
36029006601,"Census Tract 66.01, Erie County, New York",1136,27,139,0.146126761
36029006602,"Census Tract 66.02, Erie County, New York",1296,6,187,0.148919753
36029006701,"Census Tract 67.01, Erie County, New York",1607,0,433,0.269446173
36029006702,"Census Tract 67.02, Erie County, New York",2116,0,773,0.365311909
36029006801,"Census Tract 68.01, Erie County, New York",696,0,58,0.083333333
36029006802,"Census Tract 68.02, Erie County, New York",1312,29,335,0.277439024
36029006901,"Census Tract 69.01, Erie County, New York",1469,18,502,0.353982301
36029006903,"Census Tract 69.03, Erie County, New York",748,9,135,0.192513369
36029006904,"Census Tract 69.04, Erie County, New York",967,9,299,0.318510858
36029007000,"Census Tract 70, Erie County, New York",1099,27,399,0.387625114
36029007102,"Census Tract 71.02, Erie County, New York",1094,0,499,0.456124314
36029007103,"Census Tract 71.03, Erie County, New York",660,0,292,0.442424242
36029007104,"Census Tract 71.04, Erie County, New York",1174,9,451,0.391822828
